ts_code,name,price
001696.SZ,宗申动力,5.645
001872.SZ,招商港口,17.85
001896.SZ,豫能控股,3.295
001965.SZ,招商公路,7.905
001979.SZ,招商蛇口,19.735
002001.SZ,新和成,23.655
002002.SZ,鸿达兴业,4.45
002003.SZ,伟星股份,6.215
002004.SZ,华邦健康,4.715
002005.SZ,*ST德豪,1.4249999999999998
002006.SZ,精功科技,4.59
002009.SZ,天奇股份,7.845
002010.SZ,传化智联,7.369999999999999
002011.SZ,盾安环境,4.945
002012.SZ,凯恩股份,4.895
002013.SZ,中航机电,6.82
002014.SZ,永新股份,6.87
002015.SZ,协鑫能科,5.455
002016.SZ,世荣兆业,7.75
002017.SZ,东信和平,13.315000000000001
002018.SZ,华信退,0.0
002019.SZ,亿帆医药,12.879999999999999
002020.SZ,京新药业,12.805
002021.SZ,*ST中捷,1.68
002022.SZ,科华生物,9.495000000000001
002023.SZ,海特高新,11.855
002024.SZ,苏宁易购,10.76
002025.SZ,航天电器,28.4
002026.SZ,山东威达,5.285
002027.SZ,分众传媒,5.415
002028.SZ,思源电气,10.34
002029.SZ,七匹狼,5.869999999999999
002030.SZ,达安基因,10.445
002031.SZ,巨轮智能,1.915
002033.SZ,丽江旅游,5.9
002034.SZ,旺能环境,15.15
002035.SZ,华帝股份,10.02
002036.SZ,联创电子,11.675
002037.SZ,久联发展,7.21
002038.SZ,双鹭药业,13.395
002039.SZ,黔源电力,14.67
002040.SZ,南京港,7.595000000000001
002041.SZ,登海种业,8.95
002042.SZ,华孚时尚,7.3
002043.SZ,兔宝宝,5.35
002044.SZ,美年健康,12.55
002045.SZ,国光电器,6.145
002046.SZ,轴研科技,7.48
002047.SZ,宝鹰股份,5.12
002048.SZ,宁波华翔,13.129999999999999
002050.SZ,三花智控,11.265
002051.SZ,中工国际,9.91
002052.SZ,同洲电子,4.74
002053.SZ,云南能投,7.045
002054.SZ,德美化工,7.995000000000001
002055.SZ,得润电子,10.445
002056.SZ,横店东磁,6.9
002057.SZ,中钢天源,10.565000000000001
002058.SZ,威尔泰,13.235
002059.SZ,云南旅游,5.555
002060.SZ,粤水电,2.94
002061.SZ,浙江交科,5.3
002062.SZ,宏润建设,3.46
002063.SZ,远光软件,9.115
002064.SZ,华峰氨纶,5.07
002065.SZ,东华软件,6.9
002066.SZ,瑞泰科技,7.845000000000001
002067.SZ,景兴纸业,3.1100000000000003
002068.SZ,黑猫股份,4.9399999999999995
002069.SZ,獐子岛,3.175
002071.SZ,长城影视,3.3
002072.SZ,*ST凯瑞,4.470000000000001
002073.SZ,软控股份,6.045
002074.SZ,国轩高科,12.495
002075.SZ,沙钢股份,7.835
002076.SZ,雪莱特,2.715
002077.SZ,大港股份,6.095000000000001
002078.SZ,太阳纸业,7.6899999999999995
002079.SZ,苏州固锝,6.845
002080.SZ,中材科技,10.39
002081.SZ,金螳螂,9.655000000000001
002082.SZ,万邦德,9.055
002083.SZ,孚日股份,5.824999999999999
002084.SZ,海鸥住工,4.98
002085.SZ,万丰奥威,6.99
002086.SZ,ST东海洋,3.5
002087.SZ,新野纺织,3.535
002088.SZ,鲁阳节能,11.114999999999998
002089.SZ,*ST新海,2.26
002090.SZ,金智科技,11.030000000000001
002091.SZ,江苏国泰,5.505000000000001
002092.SZ,中泰化学,7.01
002093.SZ,国脉科技,8.93
002094.SZ,青岛金王,4.77
002095.SZ,生意宝,20.915
002096.SZ,南岭民爆,5.895
002097.SZ,山河智能,5.835
002098.SZ,浔兴股份,5.025
002099.SZ,海翔药业,7.005
002100.SZ,天康生物,9.89
002101.SZ,广东鸿图,6.78
002102.SZ,ST冠福,2.285
002103.SZ,广博股份,4.16
002104.SZ,恒宝股份,6.53
002105.SZ,信隆健康,4.775
002106.SZ,莱宝高科,8.059999999999999
002107.SZ,沃华医药,8.475
002108.SZ,沧州明珠,3.49
002109.SZ,兴化股份,3.6500000000000004
002110.SZ,三钢闽光,7.975
002111.SZ,威海广泰,13.629999999999999
002112.SZ,三变科技,6.805
002113.SZ,ST天润,1.76
002114.SZ,罗平锌电,8.04
002115.SZ,三维通信,8.055
002116.SZ,中国海诚,8.09
002117.SZ,东港股份,10.105
002118.SZ,紫鑫药业,6.505
002119.SZ,康强电子,14.575
002121.SZ,科陆电子,4.835
002122.SZ,*ST天马,1.935
